datetime	tstart	tfinish	type	group	site	treatment	block	temp.C	pres.kPA	PAR	NEE	Rsqd
12.08.2016 09:01	30	110	photo	inge	elev3850	tt1	7	20,61	62,81	1153,59	-1,13	0,9
12.08.2016 11:56	10	70	photo	inge	elev3850	otc	2	25,61	62,79	1791,94	0,66	0,39
12.08.2016 09:19	10	140	resp	inge	elev3850	otc	6	20,61	62,81	2,16	-4,38	0,99
12.08.2016 09:36	10	90	resp	inge	elev3850	tt0	6	20,61	62,81	5,34	-30,78	0,97
12.08.2016 09:12	10	120	resp	inge	elev3850	tt0	7	20,61	62,81	3,80	-10,71	0,99
12.08.2016 09:43	10	140	resp	inge	elev3850	tt1	6	20,61	62,81	6,24	-29,34	0,99
12.08.2016 09:05	10	70	resp	inge	elev3850	tt1	7	20,61	62,81	5,30	-7,89	0,96
12.08.2016 11:58	10	90	resp	inge	elev3850	otc	2	26,61	62,78	7,24	-9,83	0,99
12.08.2016 12:20	10	140	resp	inge	elev3850	otc	3	23,8	62,74	3,81	-9,63	0,99
12.08.2016 12:02	10	80	photo	inge	elev3850	tt2	3	27	62,79	1870,78	-3,62	0,93
12.08.2016 11:03	20	80	photo	inge	elev3850	c	1	17,61	62,74	761,57	3,5	0,9
12.08.2016 11:10	80	150	photo	inge	elev3850	c	3	19,1	62,77	613,70	-2,53	0,92
12.08.2016 12:46	50	130	photo	inge	elev3850	c	4	16,61	62,77	547,69	1,17	0,81
12.08.2016 12:26	10	90	resp	inge	elev3850	otc	4	22,28	62,74	3,79	-8,87	0,99
12.08.2016 12:13	10	100	resp	inge	elev3850	tt1	3	25,83	62,78	4,37	-25,32	0,96
12.08.2016 12:05	10	70	resp	inge	elev3850	tt2	3	27,85	62,79	5,44	-12,3	0,98
12.08.2016 11:13	10	100	resp	inge	elev3850	c	3	19,09	62,79	4,25	-8,92	0,98
12.08.2016 11:00	10	100	resp	inge	elev3850	tt0	1	17,61	62,72	3,83	-6,83	0,98
12.08.2016 12:49	10	90	resp	inge	elev3850	c	4	16,61	62,76	2,98	-6,77	0,96
12.08.2016 12:30	10	80	photo	inge	elev3850	tt0	3	21,11	62,74	327,09	-10,43	0,94
12.08.2016 12:59	20	80	photo	inge	elev3850	tt0	4	17,19	62,7	654,98	-19,1	0,96
12.08.2016 12:37	10	140	photo	inge	elev3850	tt1	4	17,61	62,77	493,32	-22,78	0,98
12.08.2016 12:52	10	70	photo	inge	elev3850	tt2	4	16,94	62,69	865,72	-7,87	0,93
